,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu-BTC,DOTSOV01_clean,DOTSOV02_clean,DOTSOV03_clean,DOTSOV04_clean,DOTSOV05_clean,DOTSOV06_clean,DOTSOV07_clean,DOTSOV08_clean,DOTSOV09_clean,DOTSOV10_clean,DOTSOV11_clean,DOTSOV12_clean,DOTSOV13_clean,DOTSOV14_clean,DOTSOV15_clean,DOTSOV16_clean,DOTSOV17_clean,DOTSOV18_clean,DOTSOV19_clean,DOTSOV20_clean,DOTSOV21_clean,DOTSOV22_clean,DOTSOV23_clean,DOTSOV24_clean,DOTSOV25_clean,DOTSOV26_clean,DOTSOV27_clean,DOTSOV28_clean,DOTSOV29_clean,DOTSOV30_clean,DOTSOV31_clean,DOTSOV32_clean,DOTSOV33_clean,DOTSOV34_clean,DOTSOV35_clean,DOTSOV36_clean,DOTSOV37_clean,DOTSOV38_clean,DOTSOV39_clean,DOTSOV40_clean,DOTSOV41_clean,DOTSOV42_clean,DOTSOV_clean,FIQCEN_clean,IKETOH_manual,SONVAT_neutral_b,SONVEX_neutral_b,SONVIB_neutral_b,SOYWOT_neutral_b,UCOCUM_neutral_5b,XADDEN_manual,XADDIR_manual,XAMDUM01_clean,XAMDUM02_clean,XAMDUM03_clean,XAMDUM04_clean,XAMDUM05_clean,XAMDUM06_clean,XAMDUM07_clean,XAMDUM_clean
EDUSIF_clean,HIFTOG01_clean,IRMOF-1,IRMOF-1-Ar,LAWGEW_clean,LAWGIA_clean,LAWGOG_clean,LAWGUM_clean,MIBQAR01,MIBQAR02,MIBQAR03,MIBQAR04,MIBQAR05,MIBQAR06,MIBQAR07,MIBQAR08,MIBQAR10,MIBQAR11,MIBQAR12,MIBQAR13,MIBQAR14,MIBQAR15,MIBQAR16_clean,MIBQAR18_clean,MIBQAR19,MIBQAR_clean,PEVQEO_clean,PEVQIS_manual,PEVQOY_manual,SAHYIK,SAHYOQ,SAHYOQ02,SAHYOQ03_clean,SAHYOQ04_clean,SAHYOQ05_clean,UNIGEE_clean,VAZTOG_clean,VUSKAW_clean,VUSKEA_clean,,,,,,,,,,,,,,,,,,,,,,
CIWRAC_clean,CIWREG_clean,CIWROQ_clean,CIWRUW_clean,CIWSAD_clean,CIXCAO_clean,FUBDEM_clean,FUBDIQ_clean,GUVLAL_clean,LAKFIN_clean,NIZZAY_clean,NIZZEC_clean,NIZZIG_clean,NIZZOM_clean,OSIKIL_clean,SACDOR_clean,SACDUX_clean,SOHMEI_clean,SOHMUY_clean,SOMCON_clean,UBULUA_clean,UCOJAZ_clean,UCOJED_clean,XAPDEY_clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIKMOD01_clean,GIKMOD02_clean,GIKMOD03_clean,GIKMOD04_clean,GIKMOD05_clean,GIKMOD06_clean,GIKMOD07_clean,GIKMOD08_clean,GIKMOD09_clean,GIKMOD10_clean,GIKMOD11_clean,GIKMOD12_clean,LUSZIJ01_clean,LUSZIJ_clean,LUSZOP01_clean,LUSZOP_clean,LUSZUV_clean,LUTBEI_clean,LUTBUY_clean,LUTCAF_clean,LUTCEJ_clean,LUTCIN_clean,LUTDAG_clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIQYOU_clean,NIHBEM01_clean,NIHBEM02_clean,NIHBEM_clean,NIHBIQ01_clean,NIHBIQ02_clean,NIHBIQ_clean,NIKYOW01_clean,NIKYOW02_clean,NIKYOW_clean,NIKYUC01_clean,NIKYUC02_clean,NIKYUC_clean,NIKZAJ01_clean,NIKZAJ02_clean,NIKZAJ_clean,NIKZEN01_clean,NIKZEN02_clean,NIKZEN_clean,RATCUL01_clean,RATCUL02_clean,RATCUL03_clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITIWIS_charged,ITIWOY_charged,ITIWUE_charged,OKIWUB01_charged,OKIWUB_charged,OKIXIQ01_charged,OKIXIQ02_charged,OKIXIQ_charged,OKIYIR01_charged,SAHYAD_charged,SAHYIL_charged,WUNSEE01_charged,WUNSEE02_charged,WUNSEE_charged,WUNSII01_charged,WUNTAB_charged,WUNVEH_charged,WUNVIL_charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATIBAG_clean,ATIBOU01_clean,ATIBOU_clean,ATIBUA_clean,ATICAH_clean,ATICEL_clean,HIBGIJ_clean,IJOMOJ02_clean,IJOMOJ04_clean,IJOMOJ06_clean,IJOMOJ07_clean,IQEWOQ_clean,JIXWUJ01_clean,JIXWUJ_clean,WICGEV_clean,WIHVAL_clean,WIHVEP_clean,XOHFIK_clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKITIM01_charged,OKITIM02_charged,OKIVAG01_charged,OKIVAG_charged,OKIVIO01_charged,OKIVIO02_charged,OKIVIO_charged,OKIWEL01_charged,OKIWEL02_charged,OKIWEL_charged,OKIYAJ_charged,OKIYIR02_charged,OKIYIR03_charged,OKIYIR_charged,SAHYAD01_charged,WUNSII_charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARFIO_clean,FARFOU_clean,FARFUA_clean,REXCII_clean,REXCOO_clean,REXCUU_clean,REXDEF_clean,REXDIJ_clean,REXDUV_clean,REXFAD_clean,REXFEH_clean,REXFIL_clean,REXFOR_clean,REXFUX_clean,XIGHAX_clean,XIGHIF_clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDIWOH,IDIWOH01,IDIWOH01_clean,IDIWOH_clean,IXODUV_clean,IXOFAD_clean,IXOFEH_clean,IXOFIL_clean,IXOFOR_clean,IXOFUX01_clean,IXOFUX_clean,MIL-47,PEPLEC_clean,PEPLIG_clean,PEPLOM_clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIJDIM01_clean,FIJDIM02_clean,FIJDIM03_clean,FIJDIM04_clean,FIJDIM05_clean,FIJDIM06_clean,FIJDIM07_clean,FIJDIM08_clean,FIJDIM09_clean,FIJDIM10_clean,FIJDIM11_clean,FIJDIM12_clean,FIJDIM_clean,MAHTAR01_clean,MAHTAR_clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
